iter	Passed	Remaining
698	8295	110375
699	8307	110365
700	8318	110346
701	8330	110333
702	8341	110317
703	8354	110321
704	8366	110311
705	8379	110312
706	8391	110306
707	8402	110282
708	8414	110271
709	8426	110259
710	8439	110258
711	8451	110247
712	8462	110227
713	8474	110213
714	8485	110199
715	8498	110199
716	8509	110178
717	8520	110155
718	8533	110150
719	8544	110129
720	8556	110114
721	8567	110093
722	8578	110079
723	8590	110067
724	8601	110045
725	8613	110035
726	8625	110021
727	8638	110017
728	8649	110005
729	8662	110000
730	8674	109997
731	8686	109982
732	8697	109960
733	8708	109939
734	8720	109926
735	8733	109925
736	8744	109910
737	8756	109897
738	8768	109882
739	8779	109862
740	8791	109857
741	8804	109851
742	8816	109846
743	8828	109840
744	8840	109827
745	8853	109824
746	8865	109817
747	8877	109809
748	8889	109797
749	8901	109780
750	8913	109774
751	8925	109765
752	8937	109755
753	8949	109746
754	8961	109739
755	8974	109736
756	8986	109722
757	8998	109718
758	9011	109715
759	9023	109707
760	9036	109710
761	9048	109699
762	9059	109675
763	9071	109671
764	9083	109660
765	9095	109646
766	9107	109629
767	9117	109596
768	9128	109581
769	9140	109573
770	9153	109568
771	9164	109552
772	9176	109533
773	9188	109527
774	9200	109510
775	9211	109490
776	9222	109476
777	9235	109468
778	9247	109460
779	9259	109449
780	9270	109428
781	9282	109417
782	9293	109399
783	9305	109381
784	9318	109383
785	9330	109373
786	9340	109349
787	9353	109342
788	9364	109327
789	9376	109313
790	9388	109304
791	9400	109292
792	9412	109281
793	9424	109277
794	9436	109260
795	9447	109244
796	9459	109224
797	9470	109207
798	9482	109197
799	9494	109185
800	9506	109173
801	9517	109151
802	9529	109146
803	9541	109130
804	9552	109116
805	9564	109106
806	9576	109092
807	9588	109084
808	9599	109060
809	9611	109050
810	9624	109046
811	9635	109027
812	9648	109024
813	9659	109011
814	9671	109001
815	9683	108984
816	9695	108970
817	9707	108965
818	9719	108953
819	9731	108947
820	9743	108937
821	9756	108935
822	9768	108922
823	9779	108907
824	9791	108895
825	9802	108872
826	9814	108857
827	9826	108848
828	9838	108836
829	9849	108820
830	9860	108797
831	9871	108780
832	9883	108768
833	9895	108754
834	9907	108741
835	9919	108732
836	9931	108723
837	9943	108711
838	9955	108708
839	9966	108680
840	9977	108665
841	9989	108654
842	10002	108648
843	10014	108639
844	10026	108625
845	10037	108614
846	10050	108606
847	10062	108602
848	10074	108591
849	10087	108583
850	10099	108578
851	10111	108565
852	10122	108552
853	10134	108534
854	10146	108523
855	10158	108510
856	10170	108504
857	10181	108481
858	10193	108474
859	10206	108473
860	10218	108458
861	10229	108443
862	10241	108430
863	10253	108417
864	10265	108408
865	10276	108390
866	10287	108371
867	10300	108371
868	10311	108352
869	10323	108335
870	10335	108326
871	10347	108314
872	10359	108305
873	10371	108295
874	10383	108282
875	10395	108276
876	10407	108263
877	10418	108243
878	10430	108228
879	10442	108223
880	10455	108217
881	10466	108204
882	10479	108199
883	10490	108181
884	10502	108174
885	10514	108159
886	10526	108152
887	10538	108137
888	10550	108124
889	10562	108116
890	10574	108111
891	10587	108103
892	10599	108096
893	10612	108090
894	10623	108073
895	10635	108066
896	10647	108057
897	10660	108051
898	10672	108045
899	10684	108028
900	10695	108006
901	10706	107993
902	10718	107976
903	10729	107962
904	10741	107951
905	10753	107940
906	10765	107928
907	10777	107918
908	10789	107910
909	10801	107900
910	10814	107892
911	10826	107888
912	10839	107879
913	10850	107866
914	10861	107846
915	10873	107828
916	10883	107805
917	10896	107804
918	10908	107791
919	10919	107767
920	10931	107764
921	10944	107758
922	10956	107752
923	10970	107755
924	10982	107743
925	10994	107734
926	11006	107724
927	11018	107713
928	11030	107707
929	11044	107709
930	11055	107697
931	11067	107684
932	11078	107665
933	11091	107658
934	11103	107650
935	11115	107640
936	11127	107628
937	11139	107618
938	11151	107605
939	11162	107589
940	11174	107576
941	11186	107562
942	11196	107538
943	11207	107520
944	11218	107492
945	11229	107474
946	11240	107454
947	11252	107441
948	11263	107426
949	11275	107409
950	11286	107394
951	11298	107381
952	11310	107373
953	11322	107358
954	11333	107341
955	11344	107325
956	11355	107305
957	11366	107283
958	11377	107263
959	11388	107246
960	11399	107221
961	11410	107201
962	11422	107188
963	11433	107175
964	11444	107153
965	11456	107144
966	11468	107127
967	11480	107116
968	11491	107098
969	11503	107086
970	11514	107072
971	11525	107054
972	11538	107044
973	11547	107012
974	11559	106995
975	11570	106977
976	11581	106958
977	11592	106941
978	11602	106915
979	11614	106897
980	11626	106886
981	11638	106876
982	11648	106854
983	11660	106840
984	11673	106835
985	11685	106827
986	11697	106816
987	11709	106809
988	11720	106788
989	11732	106779
990	11744	106764
991	11756	106754
992	11768	106749
993	11781	106745
994	11793	106732
995	11805	106722
996	11817	106710
997	11829	106702
998	11841	106692
999	11853	106683
1000	11865	106670
1001	11876	106655
1002	11888	106644
1003	11900	106627
1004	11912	106618
1005	11923	106604
1006	11936	106595
1007	11948	106584
1008	11959	106568
1009	11971	106555
1010	11982	106538
1011	11994	106528
1012	12006	106515
1013	12017	106501
1014	12029	106489
1015	12041	106474
1016	12053	106464
1017	12066	106461
1018	12077	106446
1019	12089	106436
1020	12099	106410
1021	12112	106401
1022	12122	106380
1023	12134	106367
1024	12147	106368
1025	12160	106361
1026	12172	106352
1027	12184	106338
1028	12196	106331
1029	12208	106320
1030	12220	106309
1031	12233	106305
1032	12245	106300
1033	12256	106282
1034	12269	106277
1035	12281	106266
1036	12294	106261
1037	12307	106261
1038	12319	106248
1039	12331	106237
1040	12343	106226
1041	12353	106205
1042	12365	106191
1043	12377	106178
1044	12389	106168
1045	12401	106155
1046	12412	106144
1047	12424	106131
1048	12436	106121
1049	12448	106109
1050	12460	106100
1051	12473	106096
1052	12485	106085
1053	12497	106074
1054	12509	106066
1055	12520	106047
1056	12532	106036
1057	12544	106022
1058	12556	106010
1059	12568	106003
1060	12579	105987
1061	12591	105975
1062	12603	105965
1063	12615	105954
1064	12627	105942
1065	12639	105930
1066	12651	105918
1067	12663	105910
1068	12674	105892
1069	12686	105881
1070	12698	105870
1071	12710	105858
1072	12722	105845
1073	12734	105834
1074	12745	105818
1075	12758	105811
1076	12769	105798
1077	12781	105788
1078	12793	105777
1079	12805	105762
1080	12816	105748
1081	12828	105730
1082	12839	105717
1083	12851	105707
1084	12862	105683
1085	12873	105666
1086	12885	105658
1087	12898	105650
1088	12910	105639
1089	12922	105631
1090	12934	105623
1091	12946	105608
1092	12957	105591
1093	12969	105584
1094	12982	105578
1095	12993	105556
1096	13005	105547
1097	13018	105543
1098	13029	105530
1099	13041	105515
1100	13053	105507
1101	13065	105497
1102	13077	105489
1103	13090	105480
1104	13102	105471
1105	13113	105454
1106	13125	105444
1107	13137	105434
1108	13148	105416
1109	13161	105408
1110	13173	105401
1111	13185	105387
1112	13196	105366
1113	13206	105341
1114	13218	105330
1115	13229	105313
1116	13240	105295
1117	13252	105283
1118	13263	105265
1119	13273	105238
1120	13284	105223
1121	13295	105203
1122	13307	105188
1123	13318	105170
1124	13329	105155
1125	13341	105144
1126	13352	105124
1127	13364	105114
1128	13375	105093
1129	13386	105078
1130	13398	105063
1131	13409	105045
1132	13419	105025
1133	13431	105009
1134	13443	104998
1135	13454	104984
1136	13466	104972
1137	13478	104962
1138	13489	104944
1139	13500	104923
1140	13510	104902
1141	13522	104887
1142	13533	104866
1143	13543	104846
1144	13555	104833
1145	13566	104814
1146	13578	104804
1147	13590	104790
1148	13600	104766
1149	13611	104750
1150	13623	104736
1151	13635	104724
1152	13646	104712
1153	13658	104698
1154	13669	104680
1155	13680	104663
1156	13691	104646
1157	13703	104632
1158	13715	104621
1159	13727	104614
1160	13738	104598
1161	13751	104589
1162	13762	104572
1163	13774	104561
1164	13785	104546
1165	13797	104534
1166	13809	104521
1167	13820	104509
1168	13832	104494
1169	13843	104480
1170	13855	104467
1171	13866	104450
1172	13878	104435
1173	13889	104417
1174	13900	104399
1175	13912	104389
1176	13924	104377
1177	13936	104367
1178	13947	104349
1179	13958	104333
1180	13970	104327
1181	13982	104310
1182	13994	104302
1183	14006	104292
1184	14017	104275
1185	14029	104264
1186	14041	104251
1187	14053	104240
1188	14064	104223
1189	14076	104211
1190	14087	104198
1191	14099	104182
1192	14110	104169
1193	14121	104152
1194	14133	104139
1195	14145	104126
1196	14157	104116
1197	14167	104090
1198	14179	104078
1199	14190	104062
1200	14201	104045
1201	14213	104033
1202	14225	104021
1203	14236	104004
1204	14247	103990
1205	14260	103983
1206	14271	103964
1207	14282	103947
1208	14294	103938
1209	14306	103931
1210	14318	103920
1211	14330	103910
1212	14342	103899
1213	14354	103885
1214	14365	103869
1215	14376	103850
1216	14388	103839
1217	14400	103827
1218	14411	103809
1219	14422	103793
1220	14433	103776
1221	14444	103760
1222	14456	103747
1223	14467	103731
1224	14479	103718
1225	14491	103712
1226	14504	103707
1227	14515	103689
1228	14526	103674
1229	14537	103655
1230	14548	103635
1231	14559	103621
1232	14571	103609
1233	14582	103593
1234	14594	103581
1235	14606	103567
1236	14617	103550
1237	14628	103534
1238	14639	103516
1239	14650	103499
1240	14662	103487
1241	14674	103474
1242	14685	103461
1243	14697	103449
1244	14708	103434
1245	14719	103415
1246	14730	103397
1247	14743	103390
1248	14755	103380
1249	14766	103365
1250	14778	103352
1251	14789	103338
1252	14802	103330
1253	14814	103320
1254	14825	103303
1255	14836	103286
1256	14848	103278
1257	14861	103275
1258	14873	103260
1259	14884	103247
1260	14896	103234
1261	14908	103224
1262	14919	103210
1263	14931	103199
1264	14943	103185
1265	14954	103167
1266	14965	103154
1267	14977	103145
1268	14989	103132
1269	15002	103125
1270	15013	103112
1271	15025	103101
1272	15036	103082
1273	15048	103074
1274	15060	103058
1275	15072	103047
1276	15083	103036
1277	15095	103022
1278	15105	102995
1279	15116	102983
1280	15129	102976
1281	15140	102960
